Designator,Mid X,Mid Y,Rotation,Layer
_9,161.937607,-105.359174,0.0,top
_8,62.217607,-169.349174,0.0,top
_7,76.487607,-131.009174,0.0,top
_6,78.322403,-115.259174,0.0,top
_5,77.987607,-149.749174,0.0,top
_4,127.457607,-103.139174,0.0,top
_3,83.067607,-168.439174,0.0,top
_2,106.487607,-107.2087,0.0,top
,146.797607,-107.609174,0.0,top
D1,246.445212,-160.792945,180.0,top
D10,302.9874441164228,-159.71172893265194,176.88,top
D11,304.02156411642284,-140.73989193265194,176.88,top
D12,305.0556841164228,-121.76805493265194,176.88,top
D13,320.35386782031355,-171.12627359378212,169.69,top
D14,323.75437182031357,-152.43305059378213,169.69,top
D15,327.1548768203136,-133.73982859378214,169.69,top
D16,340.9746234926079,-164.77076109182426,170.7,top
D17,270.1744520972251,-182.78490042019493,179.86,top
D18,251.30235887423603,-186.58457093830714,198.44,top
D19,233.95443969501812,-195.7392128824238,212.04,top
D2,246.445212,-141.792945,180.0,top
D20,152.92625,-160.859999,180.0,top
D21,152.92625,-141.859999,180.0,top
D22,152.92625,-122.859999,180.0,top
D23,133.92625,-158.939999,180.0,top
D24,133.92625,-139.939999,180.0,top
D25,133.92625,-120.939999,180.0,top
D26,114.92625,-153.009999,180.0,top
D27,114.92625,-134.009999,180.0,top
D28,114.92625,-115.009999,180.0,top
D29,96.39374700756812,-160.1360170703126,183.12,top
D3_3,246.445212,-122.792945,180.0,top
D3_2,208.407057,-125.414625,0.0,top
D3,197.373557,-125.444621,180.0,top
D30,95.35962700756812,-141.1641800703126,183.12,top
D31,94.32550700756812,-122.1923430703126,183.12,top
D32,79.1235704623657,-172.36802243851025,190.31,top
D33,75.7230654623657,-153.67480043851023,190.31,top
D34,72.3225604623657,-134.98157743851024,190.31,top
D35,58.48311116940026,-165.8985009344643,189.3,top
D36,129.2232440923382,-182.54476157981102,180.14,top
D37,148.40610350685887,-184.57551516438204,161.56,top
D38,166.4167887560405,-192.32425642222032,147.96,top
D4,265.445212,-158.872945,180.0,top
D5,265.445212,-139.872945,180.0,top
D6,265.445212,-120.872945,180.0,top
D7,284.445212,-152.942945,180.0,top
D8,284.445212,-133.942945,180.0,top
D9,284.445212,-114.942945,180.0,top
L_BAT_BAT,179.454927,-127.258068,180.0,top
L_SWITCH_SOCKET,187.25,-126.33,0.0,top
L_XIAO_BAT,171.7,-127.21,180.0,top
R_BAT_BAT,226.405914,-127.648224,180.0,top
R_SWITCH_SOCKET,218.640987,-126.480156,0.0,top
R_XIAO_BAT,234.140987,-127.660156,180.0,top
S1,249.105462,-149.999896,0.0,top
S10,306.2311878980032,-149.0794683064791,356.88,top
S11,307.26530789800324,-130.10763130647908,356.88,top
S12,308.2994278980032,-111.13579430647908,356.88,top
S13,324.9028390297467,-160.98360670786093,349.69,top
S14,328.3033440297467,-142.2903837078609,349.69,top
S15,331.7038480297467,-123.5971617078609,349.69,top
S16,345.34410481423424,-154.54948472467763,350.7,top
S17,272.8610668278948,-171.99838423585473,359.86,top
S18,250.4120538537308,-175.5042195503926,18.44,top
S19,230.48364149154858,-185.17889080970676,32.04,top
S2,249.105462,-130.999896,0.0,top
S20,155.5865,-150.06695,0.0,top
S21,155.5865,-131.06695,0.0,top
S22,155.5865,-112.06695,0.0,top
S23,136.5865,-148.14695,0.0,top
S24,136.5865,-129.14695,0.0,top
S25,136.5865,-110.14695,0.0,top
S26,117.5865,-142.21695,0.0,top
S27,117.5865,-123.21695,0.0,top
S28,117.5865,-104.21695,0.0,top
S29,98.462616560592,-149.2141755208447,3.12,top
S3,249.105462,-111.999896,0.0,top
S30,97.428496560592,-130.2423385208447,3.12,top
S31,96.394376560592,-111.2705015208447,3.12,top
S32,79.80919267687251,-161.2731253062392,10.31,top
S33,76.4086876768725,-142.57990230623918,10.31,top
S34,73.0081836768725,-123.8866803062392,10.31,top
S35,59.364195530272106,-154.8174122743091,9.3,top
S36,131.83089888277004,-172.06847545479675,0.14,top
S37,154.3437288320509,-175.17809721473432,341.56,top
S38,174.39765736440884,-184.58651855993554,327.96,top
S4,268.105462,-148.079896,0.0,top
S5,268.105462,-129.079896,0.0,top
S6,268.105462,-110.079896,0.0,top
S7,287.105462,-142.149896,0.0,top
S8,287.105462,-123.149896,0.0,top
S9,287.105462,-104.149896,0.0,top
